"実行日時: 2026-08-03 19:51:30"

"検索条件"
"集計単位: 商品別"
"集計期間: 月ごとに集計 2026-07 - 2026-07"
"■■■■■商品・キーワードCPCを設定される際にはここから上は行ごと削除してください■■■■■"
"コントロールカラム","日付","商品ページURL","商品管理番号","入札単価","CTR(%)","商品CPC","クリック数(合計)","実績額(合計)","CPC実績(合計)","クリック数(新規)","実績額(新規)","CPC実績(新規)","クリック数(既存)","実績額(既存)","CPC実績(既存)","売上金額(合計12時間)","売上件数(合計12時間)","CVR(合計12時間)(%)","ROAS(合計12時間)(%)","注文獲得単価(合計12時間)","売上金額(合計720時間)","売上件数(合計720時間)","CVR(合計720時間)(%)","ROAS(合計720時間)(%)","注文獲得単価(合計720時間)","売上金額(新規12時間)","売上件数(新規12時間)","CVR(新規12時間)(%)","ROAS(新規12時間)(%)","注文獲得単価(新規12時間)","売上金額(新規720時間)","売上件数(新規720時間)","CVR(新規720時間)(%)","ROAS(新規720時間)(%)","注文獲得単価(新規720時間)","売上金額(既存12時間)","売上件数(既存12時間)","CVR(既存12時間)(%)","ROAS(既存12時間)(%)","注文獲得単価(既存12時間)","売上金額(既存720時間)","売上件数(既存720時間)","CVR(既存720時間)(%)","ROAS(既存720時間)(%)","注文獲得単価(既存720時間)"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0g3ycrjkx/","b0g3ycrjkx","20","0.11","","70","1400","20","69","1380","20","1","20","20","21920","4","5.71","1565.71","350","21920","4","5.71","1565.71","350","21920","4","5.79","1588.40","345","21920","4","5.79","1588.40","345","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0g2xtw9p2/","b0g2xtw9p2","20","0.02","","7","120","18","6","100","17","1","20","20","5160","2","28.57","4300.00","60","5160","2","28.57","4300.00","60","5160","2","33.33","5160.00","50","5160","2","33.33","5160.00","50","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0g2tqzmy1/","b0g2tqzmy1","20","0.02","","2","40","20","2","40","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0g1sql91q-2/","b0g1sql91q-2","20","0.10","","9","170","19","9","170","19","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0fy1j62w9-2/","b0fy1j62w9-2","20","0.10","","20","390","20","20","390","20","0","0","0","0","0","0.00","0.00","0","5160","2","10.00","1323.07","195","0","0","0.00","0.00","0","5160","2","10.00","1323.07","195","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0fvf8nvdl/","b0fvf8nvdl","20","0.60","","25","250","10","25","250","10","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0fv817dg5/","b0fv817dg5","20","0.00","","8","80","10","7","70","10","1","10","10","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0fpvbqv49-2/","b0fpvbqv49-2","20","0.08","","12","240","20","12","240","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0fl6wtk7g/","b0fl6wtk7g","20","4.34","","19","360","19","19","360","19","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0fl244hk2/","b0fl244hk2","20","6.04","","25","450","18","25","450","18","0","0","0","5340","3","12.00","1186.66","150","5340","3","12.00","1186.66","150","5340","3","12.00","1186.66","150","5340","3","12.00","1186.66","150","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0fh715wj6/","b0fh715wj6","27","1.93","","18","390","22","18","390","22","0","0","0","0","0","0.00","0.00","0","4980","1","5.55","1276.92","390","0","0","0.00","0.00","0","4980","1","5.55","1276.92","390","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0fh7137w6/","b0fh7137w6","20","0.56","","5","80","16","5","80","16","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0fdq59t55/","b0fdq59t55","20","0.25","","26","280","11","25","270","11","1","10","10","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0fdgc838r/","b0fdgc838r","20","0.93","","1","20","20","1","20","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0fd9lygtk/","b0fd9lygtk","20","1.08","","1","20","20","1","20","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0fcfk55zk-4/","b0fcfk55zk-4","20","0.00","","2","40","20","2","40","20","0","0","0","0","0","0.00","0.00","0","4960","1","50.00","12400.00","40","0","0","0.00","0.00","0","4960","1","50.00","12400.00","40","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0fcbgt5fs/","b0fcbgt5fs","27","3.39","","30","685","23","29","658","23","1","27","27","4360","2","6.66","636.49","343","6540","3","10.00","954.74","229","2180","1","3.44","331.30","658","4360","2","6.89","662.61","329","2180","1","100.00","8074.07","27","2180","1","100.00","8074.07","27"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0fcb839t7/","b0fcb839t7","20","3.10","","15","280","19","15","280","19","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0f948cn5f/","b0f948cn5f","20","0.00","","1","10","10","1","10","10","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0f7zf7w9p/","b0f7zf7w9p","20","0.05","","8","160","20","8","160","20","0","0","0","9180","1","12.50","5737.50","160","9180","1","12.50","5737.50","160","9180","1","12.50","5737.50","160","9180","1","12.50","5737.50","160","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0f6xtgtgp-2/","b0f6xtgtgp-2","20","0.05","","26","490","19","26","490","19","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0f6xtgtgp-1/","b0f6xtgtgp-1","24","0.09","","74","1754","24","74","1754","24","0","0","0","57540","6","8.10","3280.50","293","57540","6","8.10","3280.50","293","57540","6","8.10","3280.50","293","57540","6","8.10","3280.50","293","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0f6xtgtgp/","b0f6xtgtgp","20","0.48","","463","9078","20","461","9038","20","2","40","20","71240","19","4.10","784.75","478","89940","24","5.18","990.74","379","62300","18","3.90","689.31","503","81000","23","4.98","896.21","393","8940","1","50.00","22350.00","40","8940","1","50.00","22350.00","40"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0f3d2psfp/","b0f3d2psfp","20","0.08","","20","367","19","20","367","19","0","0","0","0","0","0.00","0.00","0","2080","1","5.00","566.75","367","0","0","0.00","0.00","0","2080","1","5.00","566.75","367","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0f3d1zsw8/","b0f3d1zsw8","20","0.43","","3","30","10","3","30","10","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0f2t1wvdb/","b0f2t1wvdb","20","1.72","","51","530","11","51","530","11","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0f2hpb231-1/","b0f2hpb231-1","20","21.42","","3","60","20","3","60","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dynl9bd5/","b0dynl9bd5","20","0.00","","2","23","12","2","23","12","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dxnblx52-3/","b0dxnblx52-3","20","0.02","","13","258","20","13","258","20","0","0","0","1580","1","7.69","612.40","258","1580","1","7.69","612.40","258","1580","1","7.69","612.40","258","1580","1","7.69","612.40","258","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dwxlfl51/","b0dwxlfl51","20","0.05","","35","510","15","35","510","15","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dwmpnclc/","b0dwmpnclc","20","0.04","","26","473","19","26","473","19","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dwfmjjwh/","b0dwfmjjwh","24","0.04","","69","1614","24","68","1604","24","1","10","10","5960","2","2.89","369.26","807","5960","2","2.89","369.26","807","5960","2","2.94","371.57","802","5960","2","2.94","371.57","802","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dtpclhwh/","b0dtpclhwh","20","0.99","","38","760","20","38","760","20","0","0","0","19960","6","15.78","2626.31","127","22740","7","18.42","2992.10","109","19960","6","15.78","2626.31","127","22740","7","18.42","2992.10","109","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dqxrwnzc/","b0dqxrwnzc","20","0.02","","11","211","20","11","211","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dqxnd1qs/","b0dqxnd1qs","20","0.04","","13","210","17","13","210","17","0","0","0","1980","1","7.69","942.85","210","1980","1","7.69","942.85","210","1980","1","7.69","942.85","210","1980","1","7.69","942.85","210","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dqxmpx2g/","b0dqxmpx2g","24","0.05","","18","386","22","18","386","22","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dq889rzt/","b0dq889rzt","20","0.00","","1","10","10","1","10","10","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dq7vk36r/","b0dq7vk36r","24","4.12","","8","188","24","8","188","24","0","0","0","4440","1","12.50","2361.70","188","4440","1","12.50","2361.70","188","4440","1","12.50","2361.70","188","4440","1","12.50","2361.70","188","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dnm4fzyy-1/","b0dnm4fzyy-1","20","0.11","","25","273","11","25","273","11","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dmnwc48r/","b0dmnwc48r","20","0.03","","16","281","18","16","281","18","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dkt1zkb4/","b0dkt1zkb4","24","1.75","","4","68","17","4","68","17","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dhkb4yrx/","b0dhkb4yrx","20","1.14","","6","110","19","6","110","19","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dhjqr9vv/","b0dhjqr9vv","20","0.53","","1","20","20","1","20","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dhjcr7yq/","b0dhjcr7yq","20","0.00","","5","50","10","5","50","10","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dgy42sr6/","b0dgy42sr6","24","0.03","","10","236","24","10","236","24","0","0","0","4396","2","20.00","1862.71","118","4396","2","20.00","1862.71","118","4396","2","20.00","1862.71","118","4396","2","20.00","1862.71","118","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dgy23b6s/","b0dgy23b6s","20","0.71","","1","20","20","1","20","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0dgqqh4tt/","b0dgqqh4tt","20","1.48","","5","100","20","5","100","20","0","0","0","2080","1","20.00","2080.00","100","2080","1","20.00","2080.00","100","2080","1","20.00","2080.00","100","2080","1","20.00","2080.00","100","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0d9xp3w5n/","b0d9xp3w5n","24","3.21","","24","562","24","24","562","24","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0d8pmzsgc/","b0d8pmzsgc","20","0.36","","30","600","20","30","600","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0d6gckfcp/","b0d6gckfcp","20","0.24","","29","560","20","29","560","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0d6g9rw9y-2/","b0d6g9rw9y-2","20","0.04","","19","380","20","19","380","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","-","b0d32pg6c1-1","20","0.62","","3","50","17","3","50","17","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","商品情報が取得できませんでした"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0d1p44ht9/","b0d1p44ht9","20","0.03","","24","260","11","24","260","11","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
